WARN (translation.language): source/blender/blentranslation/intern/blt_lang.cc:214 BLT_lang_init: Falling back to standard locale ("C")
Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:30:47)
Read blend: "/Users/xiaruonan/nihongo-art-work/desktop-v1/art-source/desktop-v1/yorimichi-shop.blend"
Fra:1 Mem:124.37M (Peak 124.66M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Foundation plinth
Fra:1 Mem:124.37M (Peak 124.66M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.001
Fra:1 Mem:124.38M (Peak 124.66M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.003
Fra:1 Mem:124.38M (Peak 124.66M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.004
Fra:1 Mem:126.39M (Peak 126.39M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.005
Fra:1 Mem:126.53M (Peak 126.53M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.008
Fra:1 Mem:126.51M (Peak 126.53M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.012
Fra:1 Mem:126.58M (Peak 126.58M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.013
Fra:1 Mem:126.62M (Peak 126.62M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.014
Fra:1 Mem:126.68M (Peak 126.68M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.015
Fra:1 Mem:126.68M (Peak 126.68M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.018
Fra:1 Mem:126.68M (Peak 126.68M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.020
Fra:1 Mem:126.69M (Peak 126.69M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.021
Fra:1 Mem:126.71M (Peak 126.71M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.022
Fra:1 Mem:126.73M (Peak 126.73M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.023
